SEED4_INIT=0000000a
STORE cycle=42 addr=ffff300c strb=f data=00000003
STACKSTORE cycle=90 addr=000257fc strb=f data=00000018
STACKSTORE cycle=99 addr=000257f8 strb=f data=00000000
STACKSTORE cycle=113 addr=000257f4 strb=f data=00000000
STACKSTORE cycle=122 addr=000257f0 strb=f data=00000000
STACKSTORE cycle=131 addr=000257ec strb=f data=00000000
STACKSTORE cycle=140 addr=000257e8 strb=f data=00000000
STACKSTORE cycle=154 addr=000257e4 strb=f data=00000000
STACKSTORE cycle=163 addr=000257e0 strb=f data=00000000
STACKSTORE cycle=172 addr=000257dc strb=f data=00000000
STACKSTORE cycle=181 addr=000257d8 strb=f data=00000000
STACKSTORE cycle=195 addr=000257d4 strb=f data=00000000
STACKSTORE cycle=204 addr=000257d0 strb=f data=00000000
STACKSTORE cycle=213 addr=000257cc strb=f data=00000000
STACKSTORE cycle=222 addr=00025774 strb=f data=00000000
STACKSTORE cycle=266 addr=0002576c strb=f data=00007144
STACKSTORE cycle=281 addr=00025768 strb=f data=00000000
STACKSTORE cycle=295 addr=00025764 strb=f data=00000000
STACKSTORE cycle=343 addr=00025760 strb=f data=00000000
STACKSTORE cycle=352 addr=0002575c strb=f data=00000000
STACKSTORE cycle=366 addr=00025758 strb=f data=00000000
STACKSTORE cycle=375 addr=00025754 strb=f data=00000000
STACKSTORE cycle=384 addr=00025750 strb=f data=00000000
STACKSTORE cycle=464 addr=0002574c strb=f data=00000000
STACKSTORE cycle=545 addr=0002573c strb=f data=00000204
STACKSTORE cycle=554 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=563 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=577 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=586 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=595 addr=00025728 strb=f data=00000000
STACKSTORE cycle=945 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=968 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=977 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=986 addr=00025728 strb=f data=00000000
STACKSTORE cycle=1009 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=1018 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=1027 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=1813 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=1830 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=1839 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=1848 addr=00025728 strb=f data=00000000
STACKSTORE cycle=1865 addr=0002573c strb=f data=00000214
STACKSTORE cycle=1874 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=1883 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=2985 addr=0002573c strb=f data=00000204
STACKSTORE cycle=2994 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=3003 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=3017 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=3026 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=3035 addr=00025728 strb=f data=00000000
STACKSTORE cycle=3363 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=3386 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=3395 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=3404 addr=00025728 strb=f data=00000000
STACKSTORE cycle=3427 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=3436 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=3445 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=4198 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=4215 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=4224 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=4233 addr=00025728 strb=f data=00000000
STACKSTORE cycle=4250 addr=0002573c strb=f data=00000214
STACKSTORE cycle=4259 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=4268 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=5198 addr=0002573c strb=f data=00000204
STACKSTORE cycle=5207 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=5216 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=5230 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=5239 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=5248 addr=00025728 strb=f data=00000000
STACKSTORE cycle=5565 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=5588 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=5597 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=5606 addr=00025728 strb=f data=00000000
STACKSTORE cycle=5629 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=5638 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=5647 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=6389 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=6406 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=6415 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=6424 addr=00025728 strb=f data=00000000
STACKSTORE cycle=6441 addr=0002573c strb=f data=00000214
STACKSTORE cycle=6450 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=6459 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=7389 addr=0002573c strb=f data=00000204
STACKSTORE cycle=7398 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=7407 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=7421 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=7430 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=7439 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7767 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=7790 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=7799 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=7808 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7831 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=7840 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=7849 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=8591 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=8608 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=8617 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=8626 addr=00025728 strb=f data=00000000
STACKSTORE cycle=8643 addr=0002573c strb=f data=00000214
STACKSTORE cycle=8652 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=8661 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=9609 addr=0002573c strb=f data=00000204
STACKSTORE cycle=9618 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=9627 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=9641 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9650 addr=0002572c strb=f data=4c3ebc20
