SEED4_INIT=0000000a
STORE cycle=75 addr=ffff300c strb=f data=00000003
STACKSTORE cycle=172 addr=000257fc strb=f data=00000018
STACKSTORE cycle=186 addr=000257f8 strb=f data=00000000
STACKSTORE cycle=200 addr=000257f4 strb=f data=00000000
STACKSTORE cycle=214 addr=000257f0 strb=f data=00000000
STACKSTORE cycle=228 addr=000257ec strb=f data=00000000
STACKSTORE cycle=242 addr=000257e8 strb=f data=00000000
STACKSTORE cycle=256 addr=000257e4 strb=f data=00000000
STACKSTORE cycle=270 addr=000257e0 strb=f data=00000000
STACKSTORE cycle=284 addr=000257dc strb=f data=00000000
STACKSTORE cycle=298 addr=000257d8 strb=f data=00000000
STACKSTORE cycle=312 addr=000257d4 strb=f data=00000000
STACKSTORE cycle=326 addr=000257d0 strb=f data=00000000
STACKSTORE cycle=340 addr=000257cc strb=f data=00000000
STACKSTORE cycle=354 addr=00025774 strb=f data=00000000
STACKSTORE cycle=409 addr=0002576c strb=f data=00007144
STACKSTORE cycle=451 addr=00025768 strb=f data=00000000
STACKSTORE cycle=465 addr=00025764 strb=f data=00000000
STACKSTORE cycle=589 addr=00025760 strb=f data=00000000
STACKSTORE cycle=603 addr=0002575c strb=f data=00000000
STACKSTORE cycle=617 addr=00025758 strb=f data=00000000
STACKSTORE cycle=631 addr=00025754 strb=f data=00000000
STACKSTORE cycle=645 addr=00025750 strb=f data=00000000
STACKSTORE cycle=817 addr=0002574c strb=f data=00000000
STACKSTORE cycle=998 addr=0002573c strb=f data=00000204
STACKSTORE cycle=1012 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=1026 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=1040 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=1054 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=1068 addr=00025728 strb=f data=00000000
STACKSTORE cycle=1969 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=1997 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=2011 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=2025 addr=00025728 strb=f data=00000000
STACKSTORE cycle=2053 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=2067 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=2081 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=3877 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=3905 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=3919 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=3933 addr=00025728 strb=f data=00000000
STACKSTORE cycle=3961 addr=0002573c strb=f data=00000214
STACKSTORE cycle=3975 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=3989 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=6491 addr=0002573c strb=f data=00000204
STACKSTORE cycle=6505 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=6519 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=6533 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=6547 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=6561 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7462 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=7490 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=7504 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=7518 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7546 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=7560 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=7574 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=9370 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=9398 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9412 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=9426 addr=00025728 strb=f data=00000000
STACKSTORE cycle=9454 addr=0002573c strb=f data=00000214
STACKSTORE cycle=9468 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=9482 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=12040 addr=0002573c strb=f data=00000204
STACKSTORE cycle=12054 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=12068 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=12082 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=12096 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=12110 addr=00025728 strb=f data=00000000
STACKSTORE cycle=13011 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=13039 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=13053 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=13067 addr=00025728 strb=f data=00000000
STACKSTORE cycle=13095 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=13109 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=13123 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=14919 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=14947 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=14961 addr=0002572c strb=f data=4c3ebc20
