SEED4_INIT=0000000a
STORE cycle=42 addr=ffff300c strb=f data=00000003
STACKSTORE cycle=90 addr=000257fc strb=f data=00000018
STACKSTORE cycle=99 addr=000257f8 strb=f data=00000000
STACKSTORE cycle=113 addr=000257f4 strb=f data=00000000
STACKSTORE cycle=122 addr=000257f0 strb=f data=00000000
STACKSTORE cycle=131 addr=000257ec strb=f data=00000000
STACKSTORE cycle=140 addr=000257e8 strb=f data=00000000
STACKSTORE cycle=154 addr=000257e4 strb=f data=00000000
STACKSTORE cycle=163 addr=000257e0 strb=f data=00000000
STACKSTORE cycle=172 addr=000257dc strb=f data=00000000
STACKSTORE cycle=181 addr=000257d8 strb=f data=00000000
STACKSTORE cycle=195 addr=000257d4 strb=f data=00000000
STACKSTORE cycle=204 addr=000257d0 strb=f data=00000000
STACKSTORE cycle=213 addr=000257cc strb=f data=00000000
STACKSTORE cycle=222 addr=00025774 strb=f data=00000000
STACKSTORE cycle=266 addr=0002576c strb=f data=00007144
STACKSTORE cycle=281 addr=00025768 strb=f data=00000000
STACKSTORE cycle=295 addr=00025764 strb=f data=00000000
STACKSTORE cycle=343 addr=00025760 strb=f data=00000000
STACKSTORE cycle=352 addr=0002575c strb=f data=00000000
STACKSTORE cycle=366 addr=00025758 strb=f data=00000000
STACKSTORE cycle=375 addr=00025754 strb=f data=00000000
STACKSTORE cycle=384 addr=00025750 strb=f data=00000000
STACKSTORE cycle=464 addr=0002574c strb=f data=00000000
STACKSTORE cycle=545 addr=0002573c strb=f data=00000204
STACKSTORE cycle=554 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=563 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=577 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=586 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=595 addr=00025728 strb=f data=00000000
STACKSTORE cycle=947 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=970 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=979 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=988 addr=00025728 strb=f data=00000000
STACKSTORE cycle=1011 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=1020 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=1029 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=1817 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=1834 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=1843 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=1852 addr=00025728 strb=f data=00000000
STACKSTORE cycle=1869 addr=0002573c strb=f data=00000214
STACKSTORE cycle=1878 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=1887 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=2995 addr=0002573c strb=f data=00000204
STACKSTORE cycle=3004 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=3013 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=3027 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=3036 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=3045 addr=00025728 strb=f data=00000000
STACKSTORE cycle=3375 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=3398 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=3407 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=3416 addr=00025728 strb=f data=00000000
STACKSTORE cycle=3439 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=3448 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=3457 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=4201 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=4218 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=4227 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=4236 addr=00025728 strb=f data=00000000
STACKSTORE cycle=4253 addr=0002573c strb=f data=00000214
STACKSTORE cycle=4262 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=4271 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=5216 addr=0002573c strb=f data=00000204
STACKSTORE cycle=5225 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=5234 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=5248 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=5257 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=5266 addr=00025728 strb=f data=00000000
STACKSTORE cycle=5585 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=5608 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=5617 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=5626 addr=00025728 strb=f data=00000000
STACKSTORE cycle=5649 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=5658 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=5667 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=6411 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=6428 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=6437 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=6446 addr=00025728 strb=f data=00000000
STACKSTORE cycle=6463 addr=0002573c strb=f data=00000214
STACKSTORE cycle=6472 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=6481 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=7426 addr=0002573c strb=f data=00000204
STACKSTORE cycle=7435 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=7444 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=7458 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=7467 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=7476 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7806 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=7829 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=7838 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=7847 addr=00025728 strb=f data=00000000
STACKSTORE cycle=7870 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=7879 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=7888 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=8632 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=8649 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=8658 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=8667 addr=00025728 strb=f data=00000000
STACKSTORE cycle=8684 addr=0002573c strb=f data=00000214
STACKSTORE cycle=8693 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=8702 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=9667 addr=0002573c strb=f data=00000204
STACKSTORE cycle=9676 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=9685 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=9699 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=9708 addr=0002572c strb=f data=4c3ebc20
